model,case,target,target_activity,target_score,term,term_activity,term_score,status,quote,annotation_match_correct,annotation_commentaire
gpt-oss-20b,M_g01/5.bpmn2.xml,extruder.heated,heat up bed and extruder,0.727,extruder.sending_status,Send back Status,0.4249,SATISFIED,it continuously sends you back its status,,
gpt-oss-20b,G_g03/8.bpmn2.xml,payment_method.selected,Validate payment option,0.6176,wow_subscription.active,WoW system,0.4188,VIOLATED,"If not, you can select the payment method.",,
llama-3.1-8b,G_g03/1.bpmn2.xml,battle_net_account.active,Log into game,0.3534,battle_net_account.existing,Create new battle.net account,0.6954,SATISFIED,"As soon as you have a battle.net account, you can check if you have an active WoW subscription.",,
mistral-nemotron,G_g03/9.bpmn2.xml,battle.net_account.confirmed,Recieve confirmation,0.4084,battle.net_account.created,Create battle.net account,0.7592,SATISFIED,"If you do not have one yet, you enter the account information and click the link you receive in the confirmation mail.",,
gpt-oss-20b,M_g01/10.bpmn2.xml,extruder.sending_status,Updating status,0.4278,extruder.heated,Heat up extruder,0.8592,SATISFIED,you can turn the printer on and heat up the bed and the extruder (it continuously sends you back its status).,,
gpt-oss-20b,M_g01/9.bpmn2.xml,gcode_file.generated,Generate gcode file,0.8953,extruder.sending_status,Receive status,0.4424,SATISFIED,"While doing that, you can generate the gcode file for your printer out of the STL sent to you by the artist.",,
gpt-oss-20b,E_j02/5.bpmn2.xml,maternity_leave.extended,decide if extend leave or return to work,0.4125,maternity_leave.taken,do maternity/paternity leave,0.6673,SATISFIED,At the end of the period let parent decide about extension.,,
mistral-nemotron,E_j03/0.bpmn2.xml,private_insurance.reported_to,add task:contact priavte insurance,0.4748,work_accident.occurred,Accident,0.6954,SATISFIED,"In the case of private insurance, the insured party must report an accident in writing immediately in line with the conditions and to avoid the provider from being released from the obligation to perform.",,
gpt-oss-20b,X_g01/2.bpmn2.xml,twitter_account.logged_in,login,0.3774,twitter_account.registered,register,0.4236,SATISFIED,"As soon as you have an account, log into it.",,
mistral-nemotron,G_g03/5.bpmn2.xml,character_name.confirmed,Get confirmation and selfies of your character,0.4582,character_name.available,Enter name for the Character,0.6411,SATISFIED,"You get a confirmation, and some selfies of your character, as soon as a expansion is released you get another message.",,
llama-3.1-8b,V_k09/7.bpmn2.xml,order.checked,Check of product,0.5056,order.read,Read from Managment System,0.38,SATISFIED,"Then, it's checked if the first product from the order is in stock.",,
gpt-oss-20b,M_g01/10.bpmn2.xml,color.checked,Check  how much color is left,0.4648,color.in_stock,Enough color available,0.5952,VIOLATED,"If you have the color at home (in stock), you check how much color you have left.",,
llama-3.1-8b,E_j02/0.bpmn2.xml,maternity_leave.taken,enjoy the parental leave,0.5088,information.collected,Social Security receives Info und updates the data,0.3842,SATISFIED,Let parent select,,
mistral-nemotron,E_j03/2.bpmn2.xml,work_accident.under_review,check accident site,0.4657,work_accident.reported,Report accident insurance,0.533,VIOLATED,"Independent of this, every work accident in which a person with accident insurance has been killed, or injured in such a way that they are unable to work for three days, in full or in part, must be reported to the responsible accident insurance provider within five days.",,
gpt-oss-20b,E_j02/0.bpmn2.xml,social_security.notified,Social Security sends back Parents Information to employee,0.4934,information.gathered,The employer receives info and checks  it,0.3835,SATISFIED,Gather information from companies,,
llama-3.1-8b,X_g01/0.bpmn2.xml,course.registered,register account,0.4481,system.available,system checks eligibility,0.3831,SATISFIED,"If slots are free, the system tells you the courses, and dates. Select one.",,
mistral-nemotron,G_g03/1.bpmn2.xml,wow_subscription.active,Check WoW subscription,0.7477,battle.net_account.confirmed,Confirm account information via email link,0.453,SATISFIED,"As soon as you have a battle.net account, you can check if you have an active WoW subscription.",,
llama-3.1-8b,E_j02/0.bpmn2.xml,model.selected,select a parent type,0.3794,information.collected,Social Security receives Info und updates the data,0.3842,VIOLATED,Let parent select,,
llama-3.1-8b,M_g01/7.bpmn2.xml,color.ordered,Order the color,0.822,color.checked,Check weight,0.3899,SATISFIED,"If you do not have the color at home, you order it.",,
llama-3.1-8b,G_g03/1.bpmn2.xml,battle_net_account.existing,Create new battle.net account,0.6954,subscription.active,Check WoW subscription,0.4655,VIOLATED,"If you do not have one yet, you enter the account information and click the link you receive in the confirmation mail. As soon as you have a battle.net account, you can check if you have an active WoW subscription.",,
mistral-nemotron,V_k09/4.bpmn2.xml,product.withdrawn,Withdraw from the warehouse list,0.4299,product.in_stock,Check if product is in stock,0.7794,SATISFIED,If it's in stock then it's withdrawn from the warehouse.,,
llama-3.1-8b,E_j02/2.bpmn2.xml,social_security.notified,Notify social security,0.8855,information.collected,Send selected information,0.4501,SATISFIED,"Notify Social Security, Company in time",,
gpt-oss-20b,G_g03/6.bpmn2.xml,wow_subscription.active,check for valid subscription,0.4831,battle_net_account.checked,check if you have an account,0.5126,SATISFIED,"As soon as you have a battle.net account, you can check if you have an active WoW subscription.",,
gpt-oss-20b,G_g03/8.bpmn2.xml,game.logged_in,Log in to WoW,0.452,wow_subscription.active,WoW system,0.4188,VIOLATED,After that you can log into the game,,
mistral-nemotron,G_g03/2.bpmn2.xml,battle.net_account.confirmed,Click on the link in the received confirmation E-Mail,0.3504,battle.net_account.created,Battle.net,0.5767,SATISFIED,"If you do not have one yet, you enter the account information and click the link you receive in the confirmation mail.",,
llama-3.1-8b,G_g03/5.bpmn2.xml,payment_method.selected,Select a Payment Method,0.8575,battle_net_account.active,log into the game,0.354,VIOLATED,"If not, you can select the payment method.",,
mistral-nemotron,G_g03/8.bpmn2.xml,wow_subscription.active,WoW system,0.4188,battle.net_account.confirmed,Confirm battle.net account,0.7318,SATISFIED,"As soon as you have a battle.net account, you can check if you have an active WoW subscription.",,
mistral-nemotron,R_j02/6.bpmn2.xml,value.shown,Show data ,0.4887,value.collected,Auto collect values,0.6244,SATISFIED,"Buttons are to be pressed, and values are automatically collected from the machine and shown to you.",,
gpt-oss-20b,R_j02/3.bpmn2.xml,inspection.begun,Inspection done,0.8254,machine.entered,Enter type of machine and serial number,0.4316,SATISFIED,"After entering the type of the machine, and its serial number, the inspection can begin:",,
llama-3.1-8b,G_g03/5.bpmn2.xml,expansion.released,Get the Message that the Expansion is released,0.6391,battle_net_account.active,log into the game,0.354,SATISFIED,"As soon as you have a battle.net account, you can check if you have an active WoW subscription.",,
