model,case,margin,SATISFIED,VIOLATED,UNRESOLVABLE,verdict,avg_matches_per_activity
gpt-5.5,OriginalDataset/BicycleManufacturing,0.05,8,0,12,FAITHFUL_WITH_RESERVATIONS,1.889
gpt-5.5,OriginalDataset/BicycleManufacturing,0.1,9,0,11,FAITHFUL_WITH_RESERVATIONS,2.111
gpt-5.5,OriginalDataset/BicycleManufacturing,0.15,11,0,9,FAITHFUL_WITH_RESERVATIONS,2.444
gpt-5.5,OriginalDataset/BicycleManufacturing,0.2,11,0,9,FAITHFUL_WITH_RESERVATIONS,2.667
gpt-5.5,OriginalDataset/BicycleManufacturing,0.25,11,0,9,FAITHFUL_WITH_RESERVATIONS,2.778
gpt-5.5,OriginalDataset/BicycleManufacturing,0.3,11,0,9,FAITHFUL_WITH_RESERVATIONS,2.778
gpt-5.5,OriginalDataset/ClaimsCreation,0.05,2,0,11,FAITHFUL_WITH_RESERVATIONS,1.167
gpt-5.5,OriginalDataset/ClaimsCreation,0.1,4,0,9,FAITHFUL_WITH_RESERVATIONS,1.667
gpt-5.5,OriginalDataset/ClaimsCreation,0.15,4,0,9,FAITHFUL_WITH_RESERVATIONS,1.667
gpt-5.5,OriginalDataset/ClaimsCreation,0.2,5,0,8,FAITHFUL_WITH_RESERVATIONS,2.0
gpt-5.5,OriginalDataset/ClaimsCreation,0.25,7,1,5,NOT_FAITHFUL,2.5
gpt-5.5,OriginalDataset/ClaimsCreation,0.3,7,1,5,NOT_FAITHFUL,2.5
gpt-5.5,OriginalDataset/Dispatch-of-goods,0.05,1,0,5,FAITHFUL_WITH_RESERVATIONS,1.571
gpt-5.5,OriginalDataset/Dispatch-of-goods,0.1,2,0,4,FAITHFUL_WITH_RESERVATIONS,1.857
gpt-5.5,OriginalDataset/Dispatch-of-goods,0.15,2,0,4,FAITHFUL_WITH_RESERVATIONS,2.0
gpt-5.5,OriginalDataset/Dispatch-of-goods,0.2,2,0,4,FAITHFUL_WITH_RESERVATIONS,2.0
gpt-5.5,OriginalDataset/Dispatch-of-goods,0.25,2,0,4,FAITHFUL_WITH_RESERVATIONS,2.0
gpt-5.5,OriginalDataset/Dispatch-of-goods,0.3,2,0,4,FAITHFUL_WITH_RESERVATIONS,2.0
