case,n_core_stable,n_union_ever_confirmed,core_over_union_ratio,core_milestones,confirmed_only_sometimes
OriginalDataset/BicycleManufacturing,8,10,0.8,"['bicycle.assembled', 'bicycle.shipped', 'engineering_department.informed', 'order.received', 'part.back_ordered', 'part.reserved', 'required_quantity.checked', 'storehouse.informed']","['preparation_activity.finished', 'preparation_activity.in_progress']"
OriginalDataset/ClaimsCreation,5,7,0.714,"['action_plan.created', 'file.assembled', 'initial_claim_estimate.calculated', 'police_report_database.searched', 'settlement.negotiated']","['initial_claim_estimate.negotiated', 'police_report.searched']"
OriginalDataset/Dispatch-of-goods,6,7,0.857,"['good.packaged', 'good.ready', 'offer.made', 'package_label.written', 'parcel_insurance.taken', 'shipping.clarified']",['packaged_good.prepared']
OriginalDataset/Hospital,17,18,0.944,"['analysis.performed', 'appointment.arranged', 'diagnosis.made', 'examination.prepared', 'examination.requested', 'examination_order.placed', 'follow_up_treatment.conducted', 'follow_up_treatment_order.placed', 'information.provided', 'patient.diagnosed', 'patient.examined', 'patient.informed', 'patient.treated', 'result.validated', 'sample.sent', 'sample.taken', 'sample.validated']",['examination.performed']
OriginalDataset/HotelService,11,14,0.786,"['alcoholic_beverage.prepared', 'cart.readied', 'cart.ready', 'food.prepared', 'guest_account.debited', 'non_alcoholic_drink.prepared', 'order_ticket.submitted', 'room_service_order.assigned', 'room_service_order.delivered', 'room_service_order.taken_down', 'wine.fetched']","['alcoholic_beverage.ready', 'food.ready', 'non_alcoholic_drink.ready']"
OriginalDataset/Hotel,12,15,0.8,"['alcoholic_beverage.prepared', 'cart.readied', 'cart.ready', 'food.preparing', 'guest_account.debited', 'nonalcoholic_drink.prepared', 'order_ticket.submitted', 'room_service_order.assigned', 'room_service_order.delivered', 'room_service_order.taken_down', 'sommelier_order.given', 'wine.fetched']","['alcoholic_beverage.ready', 'food.ready', 'kitchen_task.in_progress']"
OriginalDataset/Model1-2,8,10,0.8,"['computer.brought_in', 'computer.taken_home', 'hardware.checked', 'hardware.repaired', 'process.continued', 'software.checked', 'software.configured', 'system_functionality.tested']","['computer.defective', 'repair_activity.executed']"
OriginalDataset/Model1-4,4,7,0.571,"['issue_price.fixed', 'registration_statement.prepared', 'stock.bought', 'stock.offered']","['issue.bought', 'issue.compliant', 'issue_price.being_firmed']"
OriginalDataset/Model10-10,9,9,1.0,"['failure.confirmed', 'failure.examined', 'failure.rejected', 'failure.reported', 'fault.fixed', 'fault.suspected', 'repair.carried_out', 'resolution.reported', 'result.shared']",[]
OriginalDataset/Model10-1,2,3,0.667,"['dismissal.confirmed', 'dismissal.opposed']",['dismissal.reviewed']
