prompt_name,llm,use_case,raw_entity,raw_states,lexname,kept_lexical,rejection_reason,dedup_rule,final_entity,final_states
one_shot,meta/llama-3.1-8b-instruct,job_application,job_application,written,ENTITY,True,,,job_application,written
one_shot,meta/llama-3.1-8b-instruct,job_application,job_offer,sent,ENTITY,True,,,job_offer,sent
one_shot,meta/llama-3.1-8b-instruct,job_application,company,confirmed;rated,ACTOR,False,,,,
one_shot,meta/llama-3.1-8b-instruct,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,meta/llama-3.1-8b-instruct,job_application,probation_phase,entered,INDETERMINATE,True,,,probation_phase,entered
one_shot,meta/llama-3.1-8b-instruct,job_application,company_review,seen,ENTITY,True,,,company_review,seen
one_shot,meta/llama-3.1-8b-instruct,job_application,job,permanent,ENTITY,True,,,job,permanent
one_shot,meta/llama-3.1-8b-instruct,job_application,job_applicant,rated,ACTOR,False,,,,
one_shot,meta/llama-3.3-70b-instruct,job_application,job_application,sent;received;rated,ENTITY,True,,,job_application,sent;received;rated
one_shot,meta/llama-3.3-70b-instruct,job_application,job_offer,new;sent,ENTITY,True,,,job_offer,new;sent
one_shot,meta/llama-3.3-70b-instruct,job_application,company,rated;reviewed,ACTOR,False,,,,
one_shot,meta/llama-3.3-70b-instruct,job_application,job,permanent,ENTITY,True,,,job,permanent
one_shot,meta/llama-3.3-70b-instruct,job_application,probation,ended,INDETERMINATE,True,,,probation,ended
one_shot,meta/llama-3.3-70b-instruct,job_application,review,visible,ENTITY,True,,,review,visible
one_shot,mistralai/mistral-nemotron,job_application,job_application,reported;received;rated,ENTITY,True,,,job_application,reported;received;rated
one_shot,mistralai/mistral-nemotron,job_application,potential_job_offer,sent,ENTITY,True,,,potential_job_offer,sent
one_shot,mistralai/mistral-nemotron,job_application,company,confirmed;rated,ACTOR,False,,,,
one_shot,mistralai/mistral-nemotron,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,mistralai/mistral-nemotron,job_application,probation_phase,entered,INDETERMINATE,True,,,probation_phase,entered
one_shot,mistralai/mistral-nemotron,job_application,review,seen,ENTITY,True,,,review,seen
one_shot,mistralai/mistral-nemotron,job_application,job,permanent,ENTITY,True,,,job,permanent
one_shot,openai/gpt-oss-20b,job_application,job_application,reported,ENTITY,True,,,job_application,reported
one_shot,openai/gpt-oss-20b,job_application,job_offer,sent,ENTITY,True,,,job_offer,sent
one_shot,openai/gpt-oss-20b,job_application,company,confirmed;rated;entered;permanent;continue;receive,ACTOR,False,,,,
one_shot,openai/gpt-oss-20b,job_application,interview,negotiated,ENTITY,True,,,interview,negotiated
one_shot,openai/gpt-oss-20b,job_application,probation_phase,entered,INDETERMINATE,True,,,probation_phase,entered
one_shot,openai/gpt-oss-20b,job_application,review,seen,ENTITY,True,,,review,seen
one_shot,openai/gpt-oss-20b,job_application,job,permanent;ended,ENTITY,True,,,job,permanent;ended
one_shot,openai/gpt-oss-120b,job_application,job_application,reported;confirmed;rated,ENTITY,True,,,job_application,reported;confirmed;rated
one_shot,openai/gpt-oss-120b,job_application,job_offer,sent,ENTITY,True,,,job_offer,sent
one_shot,openai/gpt-oss-120b,job_application,company,confirmed;rated;rated_by_applicant,ACTOR,False,,,,
one_shot,openai/gpt-oss-120b,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,openai/gpt-oss-120b,job_application,probation_phase,entered;completed,INDETERMINATE,True,,,probation_phase,entered;completed
one_shot,openai/gpt-oss-120b,job_application,review,visible,ENTITY,True,,,review,visible
one_shot,openai/gpt-oss-120b,job_application,job,permanent;ended;continued,ENTITY,True,,,job,permanent;ended;continued
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,job_application,received;rated;confirmed,ENTITY,True,,,job_application,received;rated;confirmed
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,job_offer,sent;received,ENTITY,True,,,job_offer,sent;received
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,probation_phase,entered;completed,INDETERMINATE,True,,,probation_phase,entered;completed
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,company_rating,given;received,ENTITY,True,,,company_rating,given;received
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,job_applicant_rating,given;received,ENTITY,True,,,job_applicant_rating,given;received
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,review,visible;hidden,ENTITY,True,,,review,visible;hidden
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,job_offer_continuation,ongoing;terminated,ENTITY,True,,,job_offer_continuation,ongoing;terminated
one_shot,nvidia/nemotron-3-super-120b-a12b,job_application,reporting_requirement,active;inactive,ENTITY,True,,,reporting_requirement,active;inactive
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,job_application,reported;confirmed;rated,ENTITY,True,,,job_application,reported;confirmed;rated
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,job_offer,sent,ENTITY,True,,,job_offer,sent
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,job_interview,negotiated,ENTITY,True,,,job_interview,negotiated
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,probation_phase,entered,INDETERMINATE,True,,,probation_phase,entered
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,rating,given;received,ENTITY,True,,,rating,given;received
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,company_review,visible,ENTITY,True,,,company_review,visible
one_shot,nvidia/nemotron-3-nano-30b-a3b,job_application,permanent_job,entered;ended,ENTITY,True,,,permanent_job,entered;ended
