model,case,target,term,negated,cause
gpt-5.5,OriginalDataset/BicycleManufacturing,order.rejected,process_instance.created,False,missing
gpt-5.5,OriginalDataset/BicycleManufacturing,order.accepted,process_instance.created,False,missing
gpt-5.5,OriginalDataset/BicycleManufacturing,process_instance.created,order.received,False,missing
gpt-5.5,OriginalDataset/BicycleManufacturing,process_instance.finished,order.rejected,False,missing
gpt-5.5,OriginalDataset/BicycleManufacturing,process_instance.finished,bicycle.shipped,False,missing
gpt-5.5,OriginalDataset/BicycleManufacturing,storehouse.informed,order.accepted,False,missing
gpt-5.5,OriginalDataset/BicycleManufacturing,engineering_department.informed,order.accepted,False,missing
gpt-5.5,OriginalDataset/BicycleManufacturing,part_list.processed,storehouse.informed,False,missing
gpt-5.5,OriginalDataset/BicycleManufacturing,part_list.complete,part.reserved,False,missing
gpt-5.5,OriginalDataset/BicycleManufacturing,part_list.complete,part.back_ordered,False,missing
gpt-5.5,OriginalDataset/BicycleManufacturing,preparation_activity.finished,preparation_activity.in_progress,False,low_confidence
gpt-5.5,OriginalDataset/BicycleManufacturing,bicycle.assembled,part_list.complete,False,missing
gpt-5.5,OriginalDataset/ClaimsCreation,police_report.searched,police_report_database.searched,False,missing
gpt-5.5,OriginalDataset/ClaimsCreation,police_report.filed,police_report.searched,False,missing
gpt-5.5,OriginalDataset/ClaimsCreation,claim_documentation.filed,police_report.searched,False,missing
gpt-5.5,OriginalDataset/ClaimsCreation,file.assembled,police_report.filed,False,missing
gpt-5.5,OriginalDataset/ClaimsCreation,file.assembled,claim_documentation.filed,False,low_confidence
gpt-5.5,OriginalDataset/ClaimsCreation,file.input,file.assembled,False,missing
gpt-5.5,OriginalDataset/ClaimsCreation,initial_claim_estimate.calculated,file.input,False,missing
gpt-5.5,OriginalDataset/ClaimsCreation,action_plan.created,action_plan_checklist.available,False,missing
gpt-5.5,OriginalDataset/ClaimsCreation,settlement.negotiated,action_plan.created,False,missing
