case,repeat,n_activities,n_milestones,n_pairs_proposed,n_pairs_confirmed,n_activities_relevant_unmatched,correctness,completeness,relevance,confirmed_milestones
OriginalDataset/BicycleManufacturing,1,9,19,14,9,1,0.643,0.474,1.0,"['bicycle.assembled', 'bicycle.shipped', 'engineering_department.informed', 'order.received', 'part.back_ordered', 'part.reserved', 'preparation_activity.in_progress', 'required_quantity.checked', 'storehouse.informed']"
OriginalDataset/BicycleManufacturing,2,9,19,15,9,1,0.6,0.474,1.0,"['bicycle.assembled', 'bicycle.shipped', 'engineering_department.informed', 'order.received', 'part.back_ordered', 'part.reserved', 'preparation_activity.finished', 'required_quantity.checked', 'storehouse.informed']"
OriginalDataset/BicycleManufacturing,3,9,19,13,9,1,0.692,0.474,1.0,"['bicycle.assembled', 'bicycle.shipped', 'engineering_department.informed', 'order.received', 'part.back_ordered', 'part.reserved', 'preparation_activity.finished', 'required_quantity.checked', 'storehouse.informed']"
OriginalDataset/ClaimsCreation,1,6,13,10,5,1,0.5,0.385,1.0,"['action_plan.created', 'file.assembled', 'initial_claim_estimate.calculated', 'police_report_database.searched', 'settlement.negotiated']"
OriginalDataset/ClaimsCreation,2,6,13,11,5,1,0.455,0.385,1.0,"['action_plan.created', 'file.assembled', 'initial_claim_estimate.calculated', 'police_report_database.searched', 'settlement.negotiated']"
OriginalDataset/ClaimsCreation,3,6,13,9,7,1,0.778,0.538,1.0,"['action_plan.created', 'file.assembled', 'initial_claim_estimate.calculated', 'initial_claim_estimate.negotiated', 'police_report.searched', 'police_report_database.searched', 'settlement.negotiated']"
OriginalDataset/Dispatch-of-goods,1,7,12,7,6,1,0.857,0.5,1.0,"['good.packaged', 'good.ready', 'offer.made', 'package_label.written', 'parcel_insurance.taken', 'shipping.clarified']"
OriginalDataset/Dispatch-of-goods,2,7,12,7,6,1,0.857,0.5,1.0,"['good.packaged', 'good.ready', 'offer.made', 'package_label.written', 'parcel_insurance.taken', 'shipping.clarified']"
OriginalDataset/Dispatch-of-goods,3,7,12,7,7,1,1.0,0.583,1.0,"['good.packaged', 'good.ready', 'offer.made', 'package_label.written', 'packaged_good.prepared', 'parcel_insurance.taken', 'shipping.clarified']"
OriginalDataset/Hospital,1,14,35,21,17,2,0.81,0.486,1.0,"['analysis.performed', 'appointment.arranged', 'diagnosis.made', 'examination.prepared', 'examination.requested', 'examination_order.placed', 'follow_up_treatment.conducted', 'follow_up_treatment_order.placed', 'information.provided', 'patient.diagnosed', 'patient.examined', 'patient.informed', 'patient.treated', 'result.validated', 'sample.sent', 'sample.taken', 'sample.validated']"
