model,case,regime,SATISFIED,VIOLATED,UNRESOLVABLE,verdict,avg_matches_per_activity
gpt-5.5,OriginalDataset/BicycleManufacturing,current_margin,8,0,12,FAITHFUL_WITH_RESERVATIONS,1.889
gpt-5.5,OriginalDataset/BicycleManufacturing,global_assignment,11,0,9,FAITHFUL_WITH_RESERVATIONS,1.778
gpt-5.5,OriginalDataset/ClaimsCreation,current_margin,2,0,11,FAITHFUL_WITH_RESERVATIONS,1.167
gpt-5.5,OriginalDataset/ClaimsCreation,global_assignment,7,3,3,NOT_FAITHFUL,2.0
gpt-5.5,OriginalDataset/Dispatch-of-goods,current_margin,1,0,5,FAITHFUL_WITH_RESERVATIONS,1.571
gpt-5.5,OriginalDataset/Dispatch-of-goods,global_assignment,1,0,5,FAITHFUL_WITH_RESERVATIONS,1.286
gpt-5.5,OriginalDataset/Hospital,current_margin,8,0,30,FAITHFUL_WITH_RESERVATIONS,1.429
gpt-5.5,OriginalDataset/Hospital,global_assignment,8,6,24,NOT_FAITHFUL,1.786
gpt-5.5,OriginalDataset/HotelService,current_margin,8,0,16,FAITHFUL_WITH_RESERVATIONS,1.167
gpt-5.5,OriginalDataset/HotelService,global_assignment,4,11,9,NOT_FAITHFUL,1.917
gpt-5.5,OriginalDataset/Hotel,current_margin,8,2,28,NOT_FAITHFUL,1.167
gpt-5.5,OriginalDataset/Hotel,global_assignment,4,11,23,NOT_FAITHFUL,1.917
gpt-5.5,OriginalDataset/Model1-2,current_margin,2,2,15,FAITHFUL_WITH_RESERVATIONS,1.25
gpt-5.5,OriginalDataset/Model1-2,global_assignment,4,3,12,NOT_FAITHFUL,2.125
gpt-5.5,OriginalDataset/Model1-4,current_margin,0,0,9,FAITHFUL_WITH_RESERVATIONS,0.714
gpt-5.5,OriginalDataset/Model1-4,global_assignment,0,4,5,NOT_FAITHFUL,2.286
gpt-5.5,OriginalDataset/Model10-10,current_margin,4,1,5,NOT_FAITHFUL,1.3
gpt-5.5,OriginalDataset/Model10-10,global_assignment,2,7,1,NOT_FAITHFUL,1.5
gpt-5.5,OriginalDataset/Model10-1,current_margin,0,3,3,NOT_FAITHFUL,1.75
gpt-5.5,OriginalDataset/Model10-1,global_assignment,0,3,3,NOT_FAITHFUL,1.25
gpt-oss-20b,OriginalDataset/BicycleManufacturing,current_margin,1,0,17,FAITHFUL_WITH_RESERVATIONS,1.222
