model,case,regime,SATISFIED,VIOLATED,UNRESOLVABLE,verdict,avg_matches_per_activity
gpt-5.5,OriginalDataset/BicycleManufacturing,current_margin,8,0,12,FAITHFUL_WITH_RESERVATIONS,1.889
gpt-5.5,OriginalDataset/BicycleManufacturing,dissimilarity,11,0,9,FAITHFUL_WITH_RESERVATIONS,2.778
gpt-5.5,OriginalDataset/ClaimsCreation,current_margin,2,0,11,FAITHFUL_WITH_RESERVATIONS,1.167
gpt-5.5,OriginalDataset/ClaimsCreation,dissimilarity,8,2,3,NOT_FAITHFUL,2.333
gpt-5.5,OriginalDataset/Dispatch-of-goods,current_margin,1,0,5,FAITHFUL_WITH_RESERVATIONS,1.571
gpt-5.5,OriginalDataset/Dispatch-of-goods,dissimilarity,2,0,4,FAITHFUL_WITH_RESERVATIONS,2.0
gpt-5.5,OriginalDataset/Hospital,current_margin,8,0,30,FAITHFUL_WITH_RESERVATIONS,1.429
gpt-5.5,OriginalDataset/Hospital,dissimilarity,21,0,17,FAITHFUL_WITH_RESERVATIONS,4.429
gpt-5.5,OriginalDataset/HotelService,current_margin,8,0,16,FAITHFUL_WITH_RESERVATIONS,1.167
gpt-5.5,OriginalDataset/HotelService,dissimilarity,21,0,3,FAITHFUL_WITH_RESERVATIONS,3.25
gpt-5.5,OriginalDataset/Hotel,current_margin,8,2,28,NOT_FAITHFUL,1.167
gpt-5.5,OriginalDataset/Hotel,dissimilarity,20,3,15,FAITHFUL_WITH_RESERVATIONS,3.0
gpt-5.5,OriginalDataset/Model1-2,current_margin,2,2,15,FAITHFUL_WITH_RESERVATIONS,1.25
gpt-5.5,OriginalDataset/Model1-2,dissimilarity,5,2,12,FAITHFUL_WITH_RESERVATIONS,4.0
gpt-5.5,OriginalDataset/Model1-4,current_margin,0,0,9,FAITHFUL_WITH_RESERVATIONS,0.714
gpt-5.5,OriginalDataset/Model1-4,dissimilarity,0,1,8,FAITHFUL_WITH_RESERVATIONS,2.857
gpt-5.5,OriginalDataset/Model10-10,current_margin,4,1,5,NOT_FAITHFUL,1.3
gpt-5.5,OriginalDataset/Model10-10,dissimilarity,8,1,1,NOT_FAITHFUL,6.3
gpt-5.5,OriginalDataset/Model10-1,current_margin,0,3,3,NOT_FAITHFUL,1.75
gpt-5.5,OriginalDataset/Model10-1,dissimilarity,0,3,3,NOT_FAITHFUL,3.75
gpt-oss-20b,OriginalDataset/BicycleManufacturing,current_margin,1,0,17,FAITHFUL_WITH_RESERVATIONS,1.222
gpt-oss-20b,OriginalDataset/BicycleManufacturing,dissimilarity,6,0,12,FAITHFUL_WITH_RESERVATIONS,2.556
gpt-oss-20b,OriginalDataset/ClaimsCreation,current_margin,1,0,1,FAITHFUL_WITH_RESERVATIONS,0.5
