model,case,tau,SATISFIED,VIOLATED,UNRESOLVABLE,verdict
gpt-5.5,OriginalDataset/BicycleManufacturing,0.2,8,1,11,NOT_FAITHFUL
gpt-5.5,OriginalDataset/BicycleManufacturing,0.25,8,1,11,NOT_FAITHFUL
gpt-5.5,OriginalDataset/BicycleManufacturing,0.3,8,0,12,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/BicycleManufacturing,0.35,8,0,12,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/BicycleManufacturing,0.4,8,0,12,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/BicycleManufacturing,0.45,8,0,12,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/BicycleManufacturing,0.5,8,0,12,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/ClaimsCreation,0.2,2,1,10,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/ClaimsCreation,0.25,2,1,10,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/ClaimsCreation,0.3,2,1,10,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/ClaimsCreation,0.35,2,0,11,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/ClaimsCreation,0.4,2,0,11,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/ClaimsCreation,0.45,2,0,11,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/ClaimsCreation,0.5,2,0,11,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Dispatch-of-goods,0.2,1,2,3,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Dispatch-of-goods,0.25,1,2,3,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Dispatch-of-goods,0.3,1,1,4,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Dispatch-of-goods,0.35,1,0,5,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Dispatch-of-goods,0.4,1,0,5,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Dispatch-of-goods,0.45,1,0,5,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Dispatch-of-goods,0.5,1,0,5,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Hospital,0.2,8,2,28,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Hospital,0.25,8,2,28,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Hospital,0.3,8,1,29,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Hospital,0.35,8,0,30,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Hospital,0.4,8,0,30,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Hospital,0.45,8,0,30,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Hospital,0.5,8,0,30,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/HotelService,0.2,8,0,16,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/HotelService,0.25,8,0,16,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/HotelService,0.3,8,0,16,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/HotelService,0.35,8,0,16,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/HotelService,0.4,8,0,16,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/HotelService,0.45,8,0,16,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/HotelService,0.5,8,0,16,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Hotel,0.2,8,2,28,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Hotel,0.25,8,2,28,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Hotel,0.3,8,2,28,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Hotel,0.35,8,2,28,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Hotel,0.4,8,2,28,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Hotel,0.45,8,2,28,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Hotel,0.5,8,1,29,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Model1-2,0.2,2,2,15,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Model1-2,0.25,2,2,15,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Model1-2,0.3,2,2,15,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Model1-2,0.35,2,2,15,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Model1-2,0.4,2,2,15,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Model1-2,0.45,2,1,16,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Model1-2,0.5,2,0,17,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Model1-4,0.2,0,0,9,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Model1-4,0.25,0,0,9,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Model1-4,0.3,0,0,9,FAITHFUL_WITH_RESERVATIONS
gpt-5.5,OriginalDataset/Model1-4,0.35,0,0,9,FAITHFUL_WITH_RESERVATIONS
