model,case,current_margin,global_assignment
gpt-5.5,OriginalDataset/ClaimsCreation,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Hospital,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
gpt-5.5,OriginalDataset/HotelService,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Model1-2,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
gpt-5.5,OriginalDataset/Model1-4,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/ClaimsCreation,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/Hospital,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/Hotel,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/Model1-2,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
gpt-oss-20b,OriginalDataset/Model1-4,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
llama-3.1-8b,OriginalDataset/BicycleManufacturing,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
llama-3.1-8b,OriginalDataset/Hospital,NOT_FAITHFUL,FAITHFUL_WITH_RESERVATIONS
mistral-nemotron,OriginalDataset/ClaimsCreation,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Hospital,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model10-10,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
mistral-nemotron,OriginalDataset/Model10-1,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/ClaimsCreation,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Hospital,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/HotelService,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Hotel,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
nemotron-3-super-120b,OriginalDataset/Model10-10,FAITHFUL_WITH_RESERVATIONS,NOT_FAITHFUL
