model,case,activity_id,node_type,matched_at_least_once
gpt-5.5,OriginalDataset/BicycleManufacturing,Task_5,Task,True
gpt-5.5,OriginalDataset/BicycleManufacturing,Task_7,Task,True
gpt-5.5,OriginalDataset/BicycleManufacturing,Task_6,Task,True
gpt-5.5,OriginalDataset/BicycleManufacturing,Task_8,Task,True
gpt-5.5,OriginalDataset/BicycleManufacturing,Task_1,Task,True
gpt-5.5,OriginalDataset/BicycleManufacturing,Task_4,Task,True
gpt-5.5,OriginalDataset/BicycleManufacturing,Task_2,Task,True
gpt-5.5,OriginalDataset/BicycleManufacturing,Task_3,Task,True
gpt-5.5,OriginalDataset/BicycleManufacturing,Task_0,Task,True
gpt-5.5,OriginalDataset/ClaimsCreation,Task_2,Task,True
gpt-5.5,OriginalDataset/ClaimsCreation,Task_3,Task,True
gpt-5.5,OriginalDataset/ClaimsCreation,Task_0,Task,True
gpt-5.5,OriginalDataset/ClaimsCreation,Task_1,Task,True
gpt-5.5,OriginalDataset/ClaimsCreation,Task_4,Task,True
gpt-5.5,OriginalDataset/ClaimsCreation,Task_5,Task,True
gpt-5.5,OriginalDataset/Dispatch-of-goods,Task_0jsoxba,Task,True
gpt-5.5,OriginalDataset/Dispatch-of-goods,Task_0sl26uo,Task,True
gpt-5.5,OriginalDataset/Dispatch-of-goods,Task_0e6hvnj,Task,True
gpt-5.5,OriginalDataset/Dispatch-of-goods,Task_0s79ile,Task,True
gpt-5.5,OriginalDataset/Dispatch-of-goods,Task_0vaxgaa,Task,True
gpt-5.5,OriginalDataset/Dispatch-of-goods,Task_12j0pib,Task,True
gpt-5.5,OriginalDataset/Dispatch-of-goods,Task_05ftug5,Task,True
gpt-5.5,OriginalDataset/Hospital,Task1,Task,True
gpt-5.5,OriginalDataset/Hospital,Task2,Task,True
gpt-5.5,OriginalDataset/Hospital,Task4,Task,True
gpt-5.5,OriginalDataset/Hospital,Task8,Task,True
gpt-5.5,OriginalDataset/Hospital,Task10,Task,True
gpt-5.5,OriginalDataset/Hospital,Task6,Task,True
gpt-5.5,OriginalDataset/Hospital,Task7,Task,True
gpt-5.5,OriginalDataset/Hospital,Task11,Task,True
gpt-5.5,OriginalDataset/Hospital,Task5,Task,True
gpt-5.5,OriginalDataset/Hospital,Task3,Task,False
gpt-5.5,OriginalDataset/Hospital,Task9,Task,True
gpt-5.5,OriginalDataset/Hospital,Task12,Task,True
gpt-5.5,OriginalDataset/Hospital,Task13,Task,True
gpt-5.5,OriginalDataset/Hospital,Task14,Task,True
gpt-5.5,OriginalDataset/HotelService,Task_5,Task,True
gpt-5.5,OriginalDataset/HotelService,Task_6,Task,True
gpt-5.5,OriginalDataset/HotelService,Task_1,Task,True
gpt-5.5,OriginalDataset/HotelService,Task_4,Task,True
gpt-5.5,OriginalDataset/HotelService,Task_9,Task,True
gpt-5.5,OriginalDataset/HotelService,Task_7,Task,True
gpt-5.5,OriginalDataset/HotelService,Task_3,Task,True
gpt-5.5,OriginalDataset/HotelService,Task_8,Task,True
gpt-5.5,OriginalDataset/HotelService,Task_10,Task,True
gpt-5.5,OriginalDataset/HotelService,Task_11,Task,True
gpt-5.5,OriginalDataset/HotelService,Task_2,Task,True
gpt-5.5,OriginalDataset/HotelService,Task_0,Task,True
gpt-5.5,OriginalDataset/Hotel,Task_0mymppr,Task,True
gpt-5.5,OriginalDataset/Hotel,Task_12rew8t,Task,True
gpt-5.5,OriginalDataset/Hotel,Task_1yfp1gq,Task,True
gpt-5.5,OriginalDataset/Hotel,Task_1y44uft,Task,True
gpt-5.5,OriginalDataset/Hotel,Task_0c685de,Task,True
gpt-5.5,OriginalDataset/Hotel,Task_0h8ljxx,Task,True
gpt-5.5,OriginalDataset/Hotel,Task_0vkxpbk,Task,True
gpt-5.5,OriginalDataset/Hotel,Task_19oznyv,Task,False
gpt-5.5,OriginalDataset/Hotel,Task_16m28ah,Task,True
gpt-5.5,OriginalDataset/Hotel,Task_1esbsdw,Task,True
gpt-5.5,OriginalDataset/Hotel,Task_05jr8ik,Task,True
gpt-5.5,OriginalDataset/Hotel,Task_0z390gs,Task,True
gpt-5.5,OriginalDataset/Model1-2,Task_025ix5y,Task,True
