model,case,matching_threshold,alignment_tau,SATISFIED,VIOLATED,UNRESOLVABLE,unresolvable_missing,unresolvable_low_confidence,unresolvable_other
gpt-5.5,OriginalDataset/BicycleManufacturing,0.35,0.35,1,0,19,19,0,0
gpt-5.5,OriginalDataset/BicycleManufacturing,0.3,0.35,2,0,18,18,0,0
gpt-5.5,OriginalDataset/BicycleManufacturing,0.25,0.35,8,0,12,11,1,0
gpt-5.5,OriginalDataset/BicycleManufacturing,0.2,0.35,8,0,12,11,1,0
gpt-5.5,OriginalDataset/BicycleManufacturing,0.15,0.35,8,0,12,11,1,0
gpt-5.5,OriginalDataset/BicycleManufacturing,0.1,0.35,8,0,12,11,1,0
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.35,0.35,1,0,17,17,0,0
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.3,0.35,1,0,17,17,0,0
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.25,0.35,1,0,17,17,0,0
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.2,0.35,1,0,17,17,0,0
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.15,0.35,1,0,17,17,0,0
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.1,0.35,1,0,17,17,0,0
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.35,0.35,0,1,17,17,0,0
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.3,0.35,0,1,17,16,1,0
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.25,0.35,1,1,16,13,2,1
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.2,0.35,1,1,16,13,2,1
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.15,0.35,1,1,16,13,2,1
llama-3.1-8b,OriginalDataset/BicycleManufacturing,0.1,0.35,1,1,16,13,2,1
