model,case,threshold,verdict,ecarts,non_verifiable,conforme
gpt-5.5,OriginalDataset/BicycleManufacturing,0.35,FAITHFUL_WITH_RESERVATIONS,0,3,1
gpt-5.5,OriginalDataset/BicycleManufacturing,0.25,FAITHFUL_WITH_RESERVATIONS,0,3,8
gpt-5.5,OriginalDataset/ClaimsCreation,0.35,FAITHFUL_WITH_RESERVATIONS,0,3,2
gpt-5.5,OriginalDataset/ClaimsCreation,0.25,FAITHFUL_WITH_RESERVATIONS,0,4,2
gpt-5.5,OriginalDataset/Dispatch-of-goods,0.35,FAITHFUL_WITH_RESERVATIONS,0,6,0
gpt-5.5,OriginalDataset/Dispatch-of-goods,0.25,FAITHFUL_WITH_RESERVATIONS,0,4,1
gpt-5.5,OriginalDataset/Hospital,0.35,FAITHFUL_WITH_RESERVATIONS,0,10,5
gpt-5.5,OriginalDataset/Hospital,0.25,FAITHFUL_WITH_RESERVATIONS,0,10,8
gpt-5.5,OriginalDataset/HotelService,0.35,NOT_FAITHFUL,1,8,3
gpt-5.5,OriginalDataset/HotelService,0.25,FAITHFUL_WITH_RESERVATIONS,0,8,8
gpt-5.5,OriginalDataset/Hotel,0.35,NOT_FAITHFUL,1,12,4
gpt-5.5,OriginalDataset/Hotel,0.25,NOT_FAITHFUL,1,12,8
gpt-5.5,OriginalDataset/Model1-2,0.35,FAITHFUL_WITH_RESERVATIONS,0,5,2
gpt-5.5,OriginalDataset/Model1-2,0.25,FAITHFUL_WITH_RESERVATIONS,0,5,2
gpt-5.5,OriginalDataset/Model1-4,0.35,FAITHFUL_WITH_RESERVATIONS,0,4,0
gpt-5.5,OriginalDataset/Model1-4,0.25,FAITHFUL_WITH_RESERVATIONS,0,4,0
gpt-5.5,OriginalDataset/Model10-10,0.35,NOT_FAITHFUL,1,3,4
gpt-5.5,OriginalDataset/Model10-10,0.25,NOT_FAITHFUL,1,3,4
gpt-5.5,OriginalDataset/Model10-1,0.35,NOT_FAITHFUL,1,2,0
gpt-5.5,OriginalDataset/Model10-1,0.25,NOT_FAITHFUL,1,2,0
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.35,FAITHFUL_WITH_RESERVATIONS,0,3,1
gpt-oss-20b,OriginalDataset/BicycleManufacturing,0.25,FAITHFUL_WITH_RESERVATIONS,0,5,1
gpt-oss-20b,OriginalDataset/ClaimsCreation,0.35,FAITHFUL_WITH_RESERVATIONS,0,2,0
gpt-oss-20b,OriginalDataset/ClaimsCreation,0.25,FAITHFUL_WITH_RESERVATIONS,0,1,1
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,0.35,FAITHFUL,0,0,0
gpt-oss-20b,OriginalDataset/Dispatch-of-goods,0.25,FAITHFUL,0,0,0
