use_case,final_entity,cohere/north-mini-code:free,meta/llama-3.1-8b-instruct,meta/llama-3.3-70b-instruct,mistralai/mistral-nemotron,nvidia/llama-3.3-nemotron-super-49b-v1.5,nvidia/nemotron-3-nano-30b-a3b,nvidia/nemotron-3-super-120b-a12b,openai/gpt-oss-120b,openai/gpt-oss-20b,qwen/qwen3.6-27b
job_application,company_rating,0,0,0,0,0,0,1,0,0,0
job_application,company_review,0,1,0,0,0,1,0,0,0,0
job_application,interview,0,0,0,0,0,0,0,0,1,0
job_application,job,0,1,1,1,1,0,0,1,1,1
job_application,job_applicant_rating,0,0,0,0,0,0,1,0,0,0
job_application,job_application,1,1,1,1,1,1,1,1,1,1
job_application,job_interview,1,1,0,1,1,1,1,1,0,1
job_application,job_offer,1,1,1,0,1,1,1,1,1,1
job_application,job_offer_continuation,0,0,0,0,0,0,1,0,0,0
job_application,permanent_job,1,0,0,0,0,1,0,0,0,0
job_application,potential_job_offer,0,0,0,1,0,0,0,0,0,0
job_application,probation,0,0,1,0,1,0,0,0,0,0
job_application,probation_phase,1,1,0,1,0,1,1,1,1,1
job_application,rating,0,0,0,0,0,1,0,0,0,0
job_application,report,1,0,0,0,0,0,0,0,0,0
job_application,reporting_requirement,0,0,0,0,0,1,1,0,0,0
job_application,review,1,0,1,1,1,0,1,1,1,1
