model,case,target,arity,status
gpt-5.5,OriginalDataset/BicycleManufacturing,order.rejected,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/BicycleManufacturing,order.accepted,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/BicycleManufacturing,process_instance.created,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/BicycleManufacturing,process_instance.finished,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/BicycleManufacturing,process_instance.finished,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/BicycleManufacturing,storehouse.informed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/BicycleManufacturing,engineering_department.informed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/BicycleManufacturing,part_list.processed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/BicycleManufacturing,part_list.complete,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/BicycleManufacturing,part_list.complete,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/BicycleManufacturing,required_quantity.checked,1,SATISFIED
gpt-5.5,OriginalDataset/BicycleManufacturing,part.available,1,SATISFIED
gpt-5.5,OriginalDataset/BicycleManufacturing,part.unavailable,1,SATISFIED
gpt-5.5,OriginalDataset/BicycleManufacturing,part.reserved,1,SATISFIED
gpt-5.5,OriginalDataset/BicycleManufacturing,part.back_ordered,1,SATISFIED
gpt-5.5,OriginalDataset/BicycleManufacturing,preparation_activity.in_progress,1,SATISFIED
gpt-5.5,OriginalDataset/BicycleManufacturing,preparation_activity.finished,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/BicycleManufacturing,bicycle.assembled,2,UNRESOLVABLE
gpt-5.5,OriginalDataset/BicycleManufacturing,bicycle.shipped,1,SATISFIED
gpt-5.5,OriginalDataset/ClaimsCreation,police_report.searched,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/ClaimsCreation,police_report.filed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/ClaimsCreation,claim_documentation.filed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/ClaimsCreation,file.assembled,2,UNRESOLVABLE
gpt-5.5,OriginalDataset/ClaimsCreation,file.input,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/ClaimsCreation,initial_claim_estimate.calculated,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/ClaimsCreation,initial_claim_estimate.negotiated,1,SATISFIED
gpt-5.5,OriginalDataset/ClaimsCreation,action_plan.created,2,UNRESOLVABLE
gpt-5.5,OriginalDataset/ClaimsCreation,settlement.negotiated,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/ClaimsCreation,outcome.communicated,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/ClaimsCreation,process.ended,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Dispatch-of-goods,shipping.clarified,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Dispatch-of-goods,special_shipping.necessary,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Dispatch-of-goods,offer.made,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Dispatch-of-goods,normal_post_shipment.used,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Dispatch-of-goods,packaged_good.prepared,2,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,patient.healthy,1,SATISFIED
gpt-5.5,OriginalDataset/Hospital,patient.additional_examination_needed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,patient.informed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,patient.consented,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,patient.diagnosed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,patient.treated,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,examination_form.filled,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,examination_order.placed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,follow_up_treatment_order.placed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,request_form.filled,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,examination.requested,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,examination.prepared,2,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,examination.performed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,lab.suitable,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,lab.indicated,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,informed_consent.signed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,procedure.continued,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,appointment.arranged,2,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,ward.responsible,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,sample.requested,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,sample.taken,2,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,sample.sent,2,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,sample.received,1,SATISFIED
gpt-5.5,OriginalDataset/Hospital,sample.validated,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,sample.usable,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,sample.contaminated,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,sample.required,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,sampling.prepared,2,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,follow_up_treatment.conducted,1,SATISFIED
gpt-5.5,OriginalDataset/Hospital,analysis.performed,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hospital,result.validated,1,SATISFIED
gpt-5.5,OriginalDataset/Hospital,diagnosis.made,1,SATISFIED
gpt-5.5,OriginalDataset/Hospital,therapy.prescribed,1,SATISFIED
gpt-5.5,OriginalDataset/HotelService,room_service_order.assigned,1,SATISFIED
gpt-5.5,OriginalDataset/HotelService,room_service_order.delivered,3,UNRESOLVABLE
gpt-5.5,OriginalDataset/HotelService,order_ticket.submitted,1,SATISFIED
gpt-5.5,OriginalDataset/HotelService,food.prepared,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/HotelService,food.ready,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/HotelService,food.delivered,3,UNRESOLVABLE
gpt-5.5,OriginalDataset/HotelService,wine.fetched,1,SATISFIED
gpt-5.5,OriginalDataset/HotelService,wine.ready,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/HotelService,wine.delivered,3,UNRESOLVABLE
gpt-5.5,OriginalDataset/HotelService,alcoholic_beverage.prepared,1,SATISFIED
gpt-5.5,OriginalDataset/HotelService,alcoholic_beverage.ready,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/HotelService,non_alcoholic_drink.prepared,1,SATISFIED
gpt-5.5,OriginalDataset/HotelService,non_alcoholic_drink.ready,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/HotelService,cart.readied,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/HotelService,cart.ready,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/HotelService,kitchen_task.in_progress,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/HotelService,sommelier_task.in_progress,1,SATISFIED
gpt-5.5,OriginalDataset/HotelService,guest_account.debited,1,SATISFIED
gpt-5.5,OriginalDataset/Hotel,room_service_order.assigned,2,SATISFIED
gpt-5.5,OriginalDataset/Hotel,room_service_order.delivered,3,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hotel,order_ticket.submitted,1,VIOLATED
gpt-5.5,OriginalDataset/Hotel,food.preparing,1,SATISFIED
gpt-5.5,OriginalDataset/Hotel,food.delivered,3,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hotel,sommelier_order.given,1,VIOLATED
gpt-5.5,OriginalDataset/Hotel,wine.fetched,1,SATISFIED
gpt-5.5,OriginalDataset/Hotel,wine.ready,1,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hotel,wine.delivered,3,UNRESOLVABLE
gpt-5.5,OriginalDataset/Hotel,alcoholic_beverage.prepared,1,SATISFIED
gpt-5.5,OriginalDataset/Hotel,alcoholic_beverage.ready,1,UNRESOLVABLE
