model,case,target,term,min_confidence
gpt-5.5,OriginalDataset/BicycleManufacturing,preparation_activity.finished,preparation_activity.in_progress,0.2958
gpt-5.5,OriginalDataset/ClaimsCreation,file.assembled,claim_documentation.filed,0.3381
gpt-5.5,OriginalDataset/Dispatch-of-goods,shipping.clarified,good.shipped,0.3062
gpt-5.5,OriginalDataset/Dispatch-of-goods,offer.made,special_shipping.necessary,0.2876
gpt-5.5,OriginalDataset/Hospital,sample.taken,sample.requested,0.2695
gpt-5.5,OriginalDataset/Hospital,sample.validated,sample.received,0.3034
gpt-5.5,OriginalDataset/Hotel,order_ticket.submitted,room_service_order.taken_down,0.5082
gpt-5.5,OriginalDataset/Hotel,sommelier_order.given,order_ticket.submitted,0.4507
gpt-5.5,OriginalDataset/Model1-2,hardware.repaired,hardware.checked,0.4081
gpt-5.5,OriginalDataset/Model1-2,software.configured,software.checked,0.4512
gpt-5.5,OriginalDataset/Model10-10,failure.examined,failure.reported,0.4688
gpt-5.5,OriginalDataset/Model10-1,dismissal.reviewed,dismissal.sent,0.588
gpt-5.5,OriginalDataset/Model10-1,dismissal.opposed,dismissal.reviewed,0.4403
gpt-5.5,OriginalDataset/Model10-1,dismissal.confirmed,dismissal.reviewed,0.5856
gpt-oss-20b,OriginalDataset/HotelService,order_ticket.submitted,room_service_order.submitted,0.4991
gpt-oss-20b,OriginalDataset/HotelService,wine.ready,order_ticket.submitted,0.2704
gpt-oss-20b,OriginalDataset/HotelService,alcoholic_beverage.ready,order_ticket.submitted,0.3492
gpt-oss-20b,OriginalDataset/HotelService,food.ready,kitchen.preparing_food,0.3691
gpt-oss-20b,OriginalDataset/Hotel,guest_room.received,room_service_order.delivered,0.3333
gpt-oss-20b,OriginalDataset/Model1-4,blue_sky_law.checked,registration_statement.prepared,0.3606
gpt-oss-20b,OriginalDataset/Model1-4,issue.priced,issue_price.fixed,0.4106
gpt-oss-20b,OriginalDataset/Model10-1,dismissal.reviewed,dismissal.sent,0.588
gpt-oss-20b,OriginalDataset/Model10-1,dismissal.opposed,dismissal.sent,0.4403
gpt-oss-20b,OriginalDataset/Model10-1,dismissal.confirmed,dismissal.sent,0.5856
llama-3.1-8b,OriginalDataset/BicycleManufacturing,assembling.finished,bicycle.assembled,0.3677
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order_preparation.finished,part_list.processed,0.2772
llama-3.1-8b,OriginalDataset/BicycleManufacturing,order_preparation.finished,part.reserved,0.3281
llama-3.1-8b,OriginalDataset/ClaimsCreation,file.created,claim_documentation.searched,0.3869
llama-3.1-8b,OriginalDataset/Hospital,examination_process.complete,sample.analyzed,0.4031
llama-3.1-8b,OriginalDataset/Hospital,examination_process.complete,follow_up_treatment.conducted,0.4033
mistral-nemotron,OriginalDataset/ClaimsCreation,file.created,claim_documentation.in_file,0.3869
mistral-nemotron,OriginalDataset/HotelService,room_service_order.assigned_to_waiter,room_service_order.received,0.3953
mistral-nemotron,OriginalDataset/Hotel,food_preparation.ready,food_preparation.in_progress,0.3848
mistral-nemotron,OriginalDataset/Hotel,wine_preparation.in_progress,order.submitted_to_kitchen,0.2676
mistral-nemotron,OriginalDataset/Model1-2,hardware_repair.complete,hardware_repair.in_progress,0.4359
mistral-nemotron,OriginalDataset/Model1-2,hardware_repair.complete,system_functionality_test.passed,0.464
mistral-nemotron,OriginalDataset/Model1-2,software_configuration.complete,system_functionality_test.passed,0.4377
mistral-nemotron,OriginalDataset/Model1-2,system_functionality_test.passed,system_functionality_test.in_progress,0.4534
mistral-nemotron,OriginalDataset/Model1-2,system_functionality_test.failed,system_functionality_test.in_progress,0.4534
mistral-nemotron,OriginalDataset/Model1-4,issue.priced,issue_price.fixed,0.4106
mistral-nemotron,OriginalDataset/Model10-10,measuring_device.fault_fixed,fault_detector.failure_confirmed,0.2997
mistral-nemotron,OriginalDataset/Model10-1,dismissal.under_review,dismissal.sent,0.2581
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,package_label.written,good.shipped,0.3062
nemotron-3-super-120b,OriginalDataset/Dispatch-of-goods,parcel_insurance.taken,good.shipped,0.3062
nemotron-3-super-120b,OriginalDataset/Hospital,examination_form.filled_out,patient.healthy,0.2792
nemotron-3-super-120b,OriginalDataset/HotelService,cart.readied,order.submitted,0.3685
nemotron-3-super-120b,OriginalDataset/Model1-4,issue.compliant_with_blue_sky_laws,issue.registered_with_sec,0.3548
nemotron-3-super-120b,OriginalDataset/Model1-4,issue.priced,issue.compliant_with_blue_sky_laws,0.3548
nemotron-3-super-120b,OriginalDataset/Model1-4,issue.priced,registration_statement.approved_by_sec,0.4106
nemotron-3-super-120b,OriginalDataset/Model1-4,issue.priced,issue.compliant_with_blue_sky_laws,0.3548
nemotron-3-super-120b,OriginalDataset/Model1-4,issue.offered_to_public,issue.priced,0.4106
nemotron-3-super-120b,OriginalDataset/Model1-4,price.fixed,registration_statement.approved_by_sec,0.3782
nemotron-3-super-120b,OriginalDataset/Model10-10,fault.fixed,fault.confirmed,0.3207
nemotron-3-super-120b,OriginalDataset/Model10-1,dismissal.reviewed,dismissal.sent,0.588
nemotron-3-super-120b,OriginalDataset/Model10-1,dismissal.opposed,dismissal.reviewed,0.4403
nemotron-3-super-120b,OriginalDataset/Model10-1,dismissal.confirmed,dismissal.reviewed,0.5856
