model,case,milestone,best_score,best_activity_label,best_activity_type,best_activity_own_best_score,cause,winning_candidates_on_same_activity
gpt-5.5,OriginalDataset/BicycleManufacturing,order.accepted,0.2817,Receive order,Task,0.4193,lost_to_margin,order.received
gpt-5.5,OriginalDataset/BicycleManufacturing,order.rejected,0.2513,Receive order,Task,0.4193,lost_to_margin,order.received
gpt-5.5,OriginalDataset/BicycleManufacturing,part_list.complete,0.2367,Check part quantity,Task,0.3143,below_threshold,
gpt-5.5,OriginalDataset/BicycleManufacturing,process_instance.created,0.1202,Check part quantity,Task,0.3143,below_threshold,
gpt-5.5,OriginalDataset/BicycleManufacturing,process_instance.finished,0.1554,Prepare for assembling,Task,0.3044,below_threshold,
gpt-5.5,OriginalDataset/BicycleManufacturing,storehouse.informed,0.3065,Inform storehouse and engineering department,Task,0.4061,lost_to_margin,engineering_department.informed
gpt-5.5,OriginalDataset/ClaimsCreation,action_plan_checklist.available,0.6403,Create action plan,Task,0.8854,lost_to_margin,action_plan.created
gpt-5.5,OriginalDataset/ClaimsCreation,file.input,0.2815,Compose file,Task,0.3381,lost_to_margin,file.assembled
gpt-5.5,OriginalDataset/ClaimsCreation,outcome.communicated,0.2845,Notify claimant,Task,0.4434,lost_to_margin,claim_documentation.filed; initial_claim_estimate.negotiated
gpt-5.5,OriginalDataset/ClaimsCreation,police_report.filed,0.5541,Search police report database,Task,0.9243,lost_to_margin,police_report_database.searched
gpt-5.5,OriginalDataset/ClaimsCreation,police_report.searched,0.7142,Search police report database,Task,0.9243,lost_to_margin,police_report_database.searched
gpt-5.5,OriginalDataset/ClaimsCreation,process.ended,0.148,Negotiate estimate settlement,Task,0.6734,below_threshold,
gpt-5.5,OriginalDataset/ClaimsCreation,settlement.negotiated,0.6207,Negotiate estimate settlement,Task,0.6734,lost_to_margin,initial_claim_estimate.negotiated
gpt-5.5,OriginalDataset/Dispatch-of-goods,amount.large,0.0747,Package goods,Task,0.3357,below_threshold,
gpt-5.5,OriginalDataset/Dispatch-of-goods,amount.small,0.076,Package goods,Task,0.3357,below_threshold,
gpt-5.5,OriginalDataset/Dispatch-of-goods,good.ready,0.1883,Prepare forpicking upgoods,Task,0.2718,below_threshold,
gpt-5.5,OriginalDataset/Dispatch-of-goods,normal_post_shipment.used,0.3022,Clarify shipment method,Task,0.3791,lost_to_margin,shipping.clarified
gpt-5.5,OriginalDataset/Hospital,examination.performed,0.3918,Prepare examination,Task,0.5729,lost_to_margin,examination.prepared
