case,repeat,milestone,assigned_activity
OriginalDataset/ClaimsCreation,1,police_report.searched,
OriginalDataset/ClaimsCreation,1,police_report.filed,
OriginalDataset/ClaimsCreation,1,police_report_database.searched,
OriginalDataset/ClaimsCreation,1,claim_documentation.filed,
OriginalDataset/ClaimsCreation,1,file.assembled,
OriginalDataset/ClaimsCreation,1,file.input,
OriginalDataset/ClaimsCreation,1,initial_claim_estimate.calculated,
OriginalDataset/ClaimsCreation,1,initial_claim_estimate.negotiated,Task_4
OriginalDataset/ClaimsCreation,1,action_plan.created,
OriginalDataset/ClaimsCreation,1,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,1,settlement.negotiated,Task_4
OriginalDataset/ClaimsCreation,1,outcome.communicated,
OriginalDataset/ClaimsCreation,1,process.ended,
OriginalDataset/ClaimsCreation,1,police_report.searched,
OriginalDataset/ClaimsCreation,1,police_report.filed,
OriginalDataset/ClaimsCreation,1,police_report_database.searched,
OriginalDataset/ClaimsCreation,1,claim_documentation.filed,
OriginalDataset/ClaimsCreation,1,file.assembled,
OriginalDataset/ClaimsCreation,1,file.input,
OriginalDataset/ClaimsCreation,1,initial_claim_estimate.calculated,
OriginalDataset/ClaimsCreation,1,initial_claim_estimate.negotiated,
OriginalDataset/ClaimsCreation,1,action_plan.created,
OriginalDataset/ClaimsCreation,1,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,1,settlement.negotiated,
OriginalDataset/ClaimsCreation,1,outcome.communicated,Task_5
OriginalDataset/ClaimsCreation,1,process.ended,
OriginalDataset/ClaimsCreation,1,police_report.searched,
OriginalDataset/ClaimsCreation,1,police_report.filed,
OriginalDataset/ClaimsCreation,1,police_report_database.searched,
OriginalDataset/ClaimsCreation,1,claim_documentation.filed,
OriginalDataset/ClaimsCreation,1,file.assembled,Task_3
OriginalDataset/ClaimsCreation,1,file.input,
OriginalDataset/ClaimsCreation,1,initial_claim_estimate.calculated,
OriginalDataset/ClaimsCreation,1,initial_claim_estimate.negotiated,
OriginalDataset/ClaimsCreation,1,action_plan.created,
OriginalDataset/ClaimsCreation,1,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,1,settlement.negotiated,
OriginalDataset/ClaimsCreation,1,outcome.communicated,
OriginalDataset/ClaimsCreation,1,process.ended,
OriginalDataset/ClaimsCreation,1,police_report.searched,
OriginalDataset/ClaimsCreation,1,police_report.filed,
OriginalDataset/ClaimsCreation,1,police_report_database.searched,
OriginalDataset/ClaimsCreation,1,claim_documentation.filed,
OriginalDataset/ClaimsCreation,1,file.assembled,
OriginalDataset/ClaimsCreation,1,file.input,
OriginalDataset/ClaimsCreation,1,initial_claim_estimate.calculated,Task_0
OriginalDataset/ClaimsCreation,1,initial_claim_estimate.negotiated,
OriginalDataset/ClaimsCreation,1,action_plan.created,
OriginalDataset/ClaimsCreation,1,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,1,settlement.negotiated,
OriginalDataset/ClaimsCreation,1,outcome.communicated,
OriginalDataset/ClaimsCreation,1,process.ended,
OriginalDataset/ClaimsCreation,1,police_report.searched,
OriginalDataset/ClaimsCreation,1,police_report.filed,
OriginalDataset/ClaimsCreation,1,police_report_database.searched,
OriginalDataset/ClaimsCreation,1,claim_documentation.filed,
OriginalDataset/ClaimsCreation,1,file.assembled,
OriginalDataset/ClaimsCreation,1,file.input,
OriginalDataset/ClaimsCreation,1,initial_claim_estimate.calculated,
OriginalDataset/ClaimsCreation,1,initial_claim_estimate.negotiated,
OriginalDataset/ClaimsCreation,1,action_plan.created,Task_1
OriginalDataset/ClaimsCreation,1,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,1,settlement.negotiated,
OriginalDataset/ClaimsCreation,1,outcome.communicated,
OriginalDataset/ClaimsCreation,1,process.ended,
OriginalDataset/ClaimsCreation,1,police_report.searched,
OriginalDataset/ClaimsCreation,1,police_report.filed,
OriginalDataset/ClaimsCreation,1,police_report_database.searched,Task_2
OriginalDataset/ClaimsCreation,1,claim_documentation.filed,
OriginalDataset/ClaimsCreation,1,file.assembled,
OriginalDataset/ClaimsCreation,1,file.input,
OriginalDataset/ClaimsCreation,1,initial_claim_estimate.calculated,
OriginalDataset/ClaimsCreation,1,initial_claim_estimate.negotiated,
OriginalDataset/ClaimsCreation,1,action_plan.created,
OriginalDataset/ClaimsCreation,1,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,1,settlement.negotiated,
OriginalDataset/ClaimsCreation,1,outcome.communicated,
OriginalDataset/ClaimsCreation,1,process.ended,
OriginalDataset/ClaimsCreation,2,police_report.searched,
OriginalDataset/ClaimsCreation,2,police_report.filed,
OriginalDataset/ClaimsCreation,2,police_report_database.searched,
OriginalDataset/ClaimsCreation,2,claim_documentation.filed,
OriginalDataset/ClaimsCreation,2,file.assembled,
OriginalDataset/ClaimsCreation,2,file.input,
OriginalDataset/ClaimsCreation,2,initial_claim_estimate.calculated,
OriginalDataset/ClaimsCreation,2,initial_claim_estimate.negotiated,Task_4
OriginalDataset/ClaimsCreation,2,action_plan.created,
OriginalDataset/ClaimsCreation,2,action_plan_checklist.available,
OriginalDataset/ClaimsCreation,2,settlement.negotiated,Task_4
OriginalDataset/ClaimsCreation,2,outcome.communicated,
OriginalDataset/ClaimsCreation,2,process.ended,
OriginalDataset/ClaimsCreation,2,police_report.searched,
OriginalDataset/ClaimsCreation,2,police_report.filed,
OriginalDataset/ClaimsCreation,2,police_report_database.searched,
OriginalDataset/ClaimsCreation,2,claim_documentation.filed,
OriginalDataset/ClaimsCreation,2,file.assembled,
OriginalDataset/ClaimsCreation,2,file.input,
OriginalDataset/ClaimsCreation,2,initial_claim_estimate.calculated,
OriginalDataset/ClaimsCreation,2,initial_claim_estimate.negotiated,
OriginalDataset/ClaimsCreation,2,action_plan.created,
